,Accounts,Actuarial Science,Acupuncture,Advertising,Aeronautical Engineering,Aerospace Engineering,Aesthetics,Agribusiness,Agricultural Science,Agriculture,Agronomy,Animal Care,Animal Conservation,Animal Science,Animation,Anthropology,Archaeology,Architectural Engineering,Architecture,Art,Artificial Intelligence,Astronomy,Astrophysics,Autism,Automotive Engineering,Aviation,Aviation Technology,Bakery and Pastry Arts,Banking,Behavioral Sciences,Biochemistry,Bioinformatics,Biology,Biomechanical Devices,Biomedical Engineering,Biomedical Sciences,Biotechnology,Brewery,Business Administration,Business Analysis,Business Analytics,Business Management,Carpentry,Ceramics,Chemical Engineering,Chemistry,Child Care,Child and Youth Worker,Cinematography,Civil Engineering,Clinical Sciences,Communicative Disorder,Community Development,Computer Information Systems,Computer Science,Computer Technology,Computing,Construction,Construction Management,Court Support,Creative Writing,Criminal Science,Criminology,Culinary Arts,Culinary Skills,Cyber Security,Cytotechnology,Dairy,Data Science and Analytics,Dental Hygiene,Dentistry,Developmental Service Worker,Dietetics,Digital Business,Diploma,Drama,Drug Development,Early Childhood Education,Economics,Education Assistance,Education Counseling,Educational Training,Electrical Engineering,Electrical and Electronic Engineering,Electromechanical Engineering,Electronics Engineering,Electronics and Communication Engineering,Electronics and Telecommunication,Electronics and Telecommunication Engineering,Elementary Education,Energy Systems Technology,Engineering Management,English,Entrepreneurship,Environmental Engineering,Esthetic Services,Ethnic Studies,Event Management,Exercise,Exhibition/Event,Film,Finance,Financial Management,Financial Services,Fire Science,Firefighting,Fisheries,Fishery,Fitness,Food Science,Forensic Science,Forestry,Game Design,Gender Studies,General Studies,Genetics,Geography,Geology,Geophysics,Geotechnical Engineering,Gerontology,Graphics,Hair Styling,Health Psychology,Health Science,Healthcare,Heating,History,Horticulture,Hospitality and Tourism Management,Human Resource Development,Human Resource Management,Human Service,Humanities,IT Business Analytics,Immunology,Industrial Design,Industrial Engineering,Information Security,Information Systems,Information Technology,Innovation,Instrumentation,Insurance,Interactive Media,Interdisciplinary Engineering,Interdisciplinary Studies,Interior Design,International Business,International Criminology,International Management,International Relations,Journalism,Justice and Emergency Services,Kinesiology,Lab Technician,Language and Literature,Law,Legal Assistant,Library,Life Science,Logistics,Machine Learning,Management Consulting,Manufacturing Engineering,Mariculture,Marine Biology,Marine Engineering,Marketing,Marketing Management,Material Science,Mathematics,Mechanical Engineering,Mechanical and Mechatronics Engineering,Mechatronics,Medical Radiation Technology,Medical Science,Medical Technology,Meteorology,Microbiology,Midwifery,Military,Mining,Mining Engineering,Mobile Application,Mobile Communication,Multimedia,Museum and Gallery Studies,Music,Nanoscience,Nanotechnology,Networking,Neuroscience,Nuclear Engineering,Nursing,Nutrition,Office Administration,Operations,Oral Science,Organizational Management,Painting,Paper and Bioprocess,Petroleum Engineering,Pharmaceutical Sciences,Pharmacy,Philosophy,Photography,Physical Activity,Physical Education,Physical Sciences,Physics,Physiology,Physiotherapy,Plant Science,Plastics Engineering,Police and Public Safety,Political Science,Poultry,Power Engineering,Primary Education,Process Engineering,Product Design Engineering,Project Management,Property Administration,Psychiatric Nursing,Psychology,Public Administration,Public Health,Public Relations,Publishing,Radiologic Science,Reading,Real Estate,Respiratory Care,Risk Management,Robotics,Sales,Sculpture,Secondary Education,Sociology,Software Development,Software Testing,Spatial Engineering,Speech Therapy,Sports Management,Sports Science,Statistics,Structural Engineering,Studio Art,Supply Chain Management,Taxation,Technical Management,Telecommunications Engineering,Textile,Textile Engineering,Textiles,Theatre,Theology,Therapeutic Recreation,Therapist Assistant,Transportation,Transportation Management,Travel and Tourism,Urban Planning,Veterinary Science,Visual Arts,Water Resource,Web Design,Welding and Fabrication,Wine Making,Winery,Woodworking,Zoology
Creative Writing,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,5.0,0,0,0,0.0,0,100,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Criminal Science,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,5.0,0,0,0,0.0,0,0,100,0,0,0,10.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,10.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0.0,0.0,0,0,0,0,5.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Criminology,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,5.0,0,0,0,0.0,0,0,0,100,0,0,20.0,0,0,5.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,20.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0.0,0.0,0,0,0,0,10.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Culinary Arts,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,50.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,100,0,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Culinary Skills,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,50.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,50.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,100,0.0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Cyber Security,20.0,10.0,0.0,25.0,15.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,0.0,70.0,10.0,15.0,0.0,10.0,10.0,10.0,0.0,40.0,5.0,5.0,35.0,5.0,5.0,15.0,5.0,10.0,0.0,60.0,70.0,70.0,55.0,0.0,0.0,10.0,5.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,85.0,80.0,90.0,90.0,5.0,0.0,10.0,0.0,30.0,50.0,0.0,0.0,100.0,0.0,0.0,60.0,0.0,0.0,0.0,0.0,70.0,50.0,0.0,0.0,0.0,40.0,0.0,0.0,0.0,35.0,45.0,25.0,55.0,40.0,40.0,50.0,0.0,0.0,60.0,0.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,50.0,50.0,45.0,20.0,15.0,0.0,0.0,0.0,0.0,30.0,0.0,30.0,0.0,40.0,0.0,0.0,10.0,15.0,0.0,0.0,20.0,0.0,0.0,5.0,5.0,5.0,0.0,0.0,0.0,5.0,5.0,0.0,0.0,80.0,0.0,5.0,10.0,98.0,80.0,90.0,25.0,20.0,45.0,60.0,20.0,40.0,0.0,20.0,25.0,30.0,15.0,5.0,40.0,0.0,0.0,0.0,40.0,20.0,50.0,5.0,20.0,65.0,40.0,10.0,0.0,0.0,5.0,30.0,30.0,5.0,45.0,15.0,25.0,25.0,0.0,5.0,5.0,5.0,0.0,0.0,10.0,0.0,0.0,55.0,30.0,40.0,0.0,0.0,10.0,15.0,95.0,5.0,0.0,0.0,0.0,10.0,40.0,0.0,15.0,0.0,0.0,5.0,5.0,0.0,5.0,0.0,0.0,0.0,20.0,35.0,0.0,0.0,0.0,0.0,40.0,10.0,0.0,10.0,0.0,5.0,15.0,70.0,0.0,0.0,10.0,10.0,0.0,10.0,5.0,0.0,0.0,0.0,0.0,80.0,50.0,5.0,0.0,0.0,5.0,85.0,85.0,5.0,0.0,5.0,0.0,35.0,0.0,0.0,30.0,25.0,65.0,35.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0,20.0,0.0,0.0,0.0,0.0,5.0,50.0,0.0,0.0,0.0,0.0,0.0
Cytotechnology,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,50.0,0,50.0,0,65.0,0,65.0,0,0,0,0,0,0,0,0.0,50.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,100,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0.0,0.0,0,0,0,0,5.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Dairy,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,5.0,0,50.0,0,0.0,0,25.0,0,0,0,0,0,0,0,0.0,5.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,100,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,15.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Data Science and Analytics,65.0,75.0,5.0,65.0,25.0,25.0,0.0,40.0,10.0,15.0,10.0,5.0,5.0,10.0,30.0,5.0,5.0,0.0,0.0,0.0,90.0,40.0,50.0,5.0,15.0,15.0,15.0,5.0,75.0,30.0,25.0,80.0,20.0,15.0,35.0,30.0,30.0,5.0,75.0,90.0,95.0,70.0,5.0,0.0,30.0,20.0,5.0,5.0,10.0,0.0,10.0,5.0,10.0,60.0,85.0,80.0,85.0,10.0,5.0,5.0,5.0,10.0,15.0,5.0,5.0,75.0,5.0,5.0,100.0,0.0,5.0,5.0,10.0,80.0,50.0,0.0,20.0,5.0,85.0,5.0,5.0,5.0,25.0,35.0,40.0,45.0,30.0,30.0,40.0,5.0,0.0,80.0,5.0,60.0,0.0,0.0,5.0,10.0,5.0,5.0,10.0,80.0,80.0,80.0,5.0,5.0,5.0,5.0,5.0,15.0,30.0,10.0,10.0,5.0,40.0,45.0,20.0,20.0,40.0,0.0,10.0,30.0,0.0,30.0,30.0,20.0,5.0,10.0,5.0,10.0,30.0,30.0,5.0,5.0,95.0,30.0,15.0,10.0,75.0,55.0,75.0,60.0,15.0,70.0,45.0,40.0,50.0,0.0,40.0,10.0,60.0,15.0,15.0,10.0,5.0,10.0,5.0,20.0,10.0,40.0,40.0,70.0,90.0,70.0,5.0,5.0,10.0,5.0,70.0,70.0,20.0,85.0,15.0,25.0,30.0,10.0,20.0,30.0,20.0,30.0,5.0,5.0,5.0,0.0,20.0,40.0,40.0,5.0,5.0,20.0,25.0,70.0,55.0,0.0,10.0,15.0,20.0,75.0,5.0,35.0,0.0,5.0,15.0,20.0,5.0,10.0,5.0,5.0,5.0,60.0,55.0,5.0,5.0,10.0,10.0,10.0,20.0,5.0,5.0,5.0,25.0,35.0,80.0,10.0,5.0,40.0,15.0,60.0,50.0,10.0,10.0,5.0,10.0,5.0,85.0,70.0,15.0,0.0,5.0,20.0,70.0,70.0,15.0,5.0,40.0,10.0,90.0,5.0,0.0,75.0,60.0,80.0,25.0,5.0,10.0,5.0,0.0,5.0,5.0,5.0,60.0,70.0,10.0,0.0,10.0,5.0,15.0,15.0,5.0,5.0,5.0,5.0,10.0
Dental Hygiene,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,15.0,0,10.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,100,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Dentistry,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,30.0,0,15.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,100,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Developmental Service Worker,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,100,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Dietetics,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,40.0,0,35.0,0,0.0,0,25.0,0,0,0,0,0,0,0,0.0,25.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,100,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0.0,0.0,0,0,0,0,10.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
Digital Business,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,45.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,60.0,40.0,0,0,0,0.0,0,0,0,0,0,0,45.0,0,0,60.0,0,0,0,0,100,0,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,45.0,60.0,60.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,70.0,0,0,0,0,0,0.0,45.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.0,0,0,0,0,60.0,45.0,0,0,0,0,35.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,75.0,0,0,0,0,0
Diploma,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,50.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,50.0,50.0,0,0,0,0.0,0,0,0,0,0,0,50.0,0,0,50.0,0,0,0,0,0,100,0,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,50.0,50.0,50.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,50.0,0,0,0,0,0,0.0,50.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,50.0,0,0,0,0,50.0,50.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,50.0,0,0,0,0,0
Drama,0,0.0,0,0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0.0,0,0.0,0,0.0,0,0.0,0,0,0,0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0.0,0.0,0,0,0,0.0,0,0,0,0,0,0,0.0,0,0,0.0,0,0,0,0,0,0,100,0,0,0,0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0.0,0.0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0.0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0,0.0,0.0,0,0.0,0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0,0,0,0,0,0,0.0,0,0.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0.0,0,0,0,0,0.0,0,0,0,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,0,0,0,0
